text,category,type,location,time,status
"Road blocked near Hebbal, vehicles moving slowly.",Traffic,Non-Emergency,Whitefield,2025-08-20 15:10:25,Resolved
Industrial smoke polluting air at Indiranagar.,Pollution,Non-Emergency,Whitefield,2025-08-23 15:50:25,Acknowledged
Heavy traffic jam at MG Road.,Traffic,Non-Emergency,Indiranagar,2025-08-03 03:47:25,Resolved
Garbage not collected from Electronic City for 3 days.,Garbage,Non-Emergency,Hebbal,2025-08-25 01:01:25,Resolved
"Bike accident occurred at Hebbal, police required.",Accident,Emergency,MG Road,2025-08-06 05:39:25,New
Suspicious activity noticed at BTM Layout.,Crime,Emergency,Yeshwanthpur,2025-08-21 20:14:25,New
"Road blocked near Whitefield, vehicles moving slowly.",Traffic,Non-Emergency,Koramangala,2025-08-16 18:22:25,Resolved
Pothole causing accidents near MG Road.,Potholes,Non-Emergency,Electronic City,2025-08-15 07:13:25,New
"Murder reported near Koramangala, urgent action needed.",Crime,Emergency,MG Road,2025-08-07 00:23:25,Resolved
Building caught fire at Indiranagar.,Fire,Emergency,MG Road,2025-08-18 13:17:25,Resolved
Plastic waste causing pollution at Hebbal.,Pollution,Non-Emergency,Koramangala,2025-08-03 14:10:25,Acknowledged
"Major accident on Koramangala, multiple vehicles involved.",Accident,Emergency,BTM Layout,2025-08-22 23:02:25,Resolved
Air pollution level rising around MG Road.,Pollution,Non-Emergency,BTM Layout,2025-08-27 19:47:25,Acknowledged
Heart attack case reported at Hebbal.,Medical,Emergency,Electronic City,2025-08-10 04:48:25,Acknowledged
Suspicious activity noticed at Whitefield.,Crime,Emergency,Brigade Road,2025-08-28 00:38:25,Resolved
Garbage not collected from HSR Layout for 3 days.,Garbage,Non-Emergency,MG Road,2025-08-06 10:55:25,New
"Smoke rising near Hebbal, seems like a fire incident.",Fire,Emergency,MG Road,2025-08-20 16:03:25,Resolved
Robbery reported at Yeshwanthpur.,Crime,Emergency,Electronic City,2025-08-02 18:09:25,New
"Garbage dumped at Electronic City, smells bad.",Garbage,Non-Emergency,Hebbal,2025-08-08 00:52:25,Acknowledged
"Fight broke out at Indiranagar, police required.",Crime,Emergency,Brigade Road,2025-08-23 04:16:25,Acknowledged
"Bike accident occurred at Indiranagar, police required.",Accident,Emergency,Hebbal,2025-08-23 14:49:25,Resolved
Waste blocking road at Hebbal.,Garbage,Non-Emergency,BTM Layout,2025-08-08 03:26:25,Resolved
Heavy traffic jam at Hebbal.,Traffic,Non-Emergency,Yeshwanthpur,2025-08-21 19:30:25,Acknowledged
Dangerous pothole reported at Whitefield.,Potholes,Non-Emergency,Brigade Road,2025-08-17 09:56:25,Acknowledged
Garbage not collected from Koramangala for 3 days.,Garbage,Non-Emergency,BTM Layout,2025-08-25 05:47:25,Resolved
Suspicious activity noticed at Yeshwanthpur.,Crime,Emergency,Koramangala,2025-08-28 02:53:25,Resolved
Pothole causing accidents near Brigade Road.,Potholes,Non-Emergency,HSR Layout,2025-08-11 05:02:25,Acknowledged
Overflowing trash bin near Whitefield.,Garbage,Non-Emergency,MG Road,2025-08-11 02:30:25,Resolved
Industrial smoke polluting air at Brigade Road.,Pollution,Non-Emergency,Koramangala,2025-08-22 05:33:25,New
"Smoke rising near HSR Layout, seems like a fire incident.",Fire,Emergency,Indiranagar,2025-08-03 23:23:25,New
"Bike accident occurred at Koramangala, police required.",Accident,Emergency,Hebbal,2025-08-10 19:40:25,Acknowledged
Heavy traffic jam at Electronic City.,Traffic,Non-Emergency,Brigade Road,2025-08-12 01:28:25,Resolved
Road at Electronic City has multiple potholes.,Potholes,Non-Emergency,Whitefield,2025-08-26 00:30:25,Resolved
Heart attack case reported at Brigade Road.,Medical,Emergency,Koramangala,2025-08-26 12:58:25,Resolved
"Road blocked near Indiranagar, vehicles moving slowly.",Traffic,Non-Emergency,BTM Layout,2025-08-11 16:45:25,New
Air pollution level rising around HSR Layout.,Pollution,Non-Emergency,Hebbal,2025-08-18 20:27:25,New
Overflowing trash bin near HSR Layout.,Garbage,Non-Emergency,Whitefield,2025-08-06 09:26:25,Resolved
Heart attack case reported at Koramangala.,Medical,Emergency,HSR Layout,2025-07-28 21:04:25,New
"Injury reported at Indiranagar, need hospital support.",Medical,Emergency,BTM Layout,2025-08-13 15:54:25,Acknowledged
"Injury reported at HSR Layout, need hospital support.",Medical,Emergency,HSR Layout,2025-08-23 10:00:25,Resolved
"Smoke rising near Brigade Road, seems like a fire incident.",Fire,Emergency,Brigade Road,2025-08-03 16:16:25,Acknowledged
"Smoke rising near MG Road, seems like a fire incident.",Fire,Emergency,Whitefield,2025-07-30 05:57:25,Resolved
"Road accident reported near BTM Layout, need ambulance.",Accident,Emergency,Brigade Road,2025-08-17 10:43:25,Acknowledged
Water pollution noticed near Electronic City.,Pollution,Non-Emergency,Indiranagar,2025-08-11 03:42:25,Resolved
"Road accident reported near Yeshwanthpur, need ambulance.",Accident,Emergency,Hebbal,2025-08-19 08:55:25,Resolved
Overflowing trash bin near MG Road.,Garbage,Non-Emergency,Brigade Road,2025-08-27 14:02:25,New
Water pollution noticed near MG Road.,Pollution,Non-Emergency,Brigade Road,2025-08-05 09:32:25,Resolved
"Car crash at Koramangala, traffic blocked.",Accident,Emergency,Electronic City,2025-08-06 19:03:25,New
Huge fire reported at MG Road.,Fire,Emergency,BTM Layout,2025-08-19 20:26:25,Acknowledged
"Garbage dumped at Indiranagar, smells bad.",Garbage,Non-Emergency,Whitefield,2025-08-03 12:10:25,Resolved
"Smoke rising near Electronic City, seems like a fire incident.",Fire,Emergency,HSR Layout,2025-08-07 13:01:25,Resolved
Robbery reported at Hebbal.,Crime,Emergency,Indiranagar,2025-08-17 02:36:25,Resolved
"Huge pothole on BTM Layout, risky for bikers.",Potholes,Non-Emergency,Brigade Road,2025-07-29 13:12:25,Resolved
Suspicious activity noticed at Brigade Road.,Crime,Emergency,Indiranagar,2025-08-11 02:23:25,Resolved
"Huge pothole on Whitefield, risky for bikers.",Potholes,Non-Emergency,Electronic City,2025-07-29 03:03:25,Resolved
Traffic congestion reported at Koramangala.,Traffic,Non-Emergency,Whitefield,2025-08-21 14:11:25,Resolved
"Huge pothole on Electronic City, risky for bikers.",Potholes,Non-Emergency,Brigade Road,2025-08-12 13:58:25,New
Traffic congestion reported at Electronic City.,Traffic,Non-Emergency,Yeshwanthpur,2025-08-22 16:34:25,Acknowledged
"Garbage dumped at BTM Layout, smells bad.",Garbage,Non-Emergency,Hebbal,2025-08-12 10:58:25,New
"Huge pothole on Electronic City, risky for bikers.",Potholes,Non-Emergency,Brigade Road,2025-08-28 04:30:25,Acknowledged
Plastic waste causing pollution at Whitefield.,Pollution,Non-Emergency,BTM Layout,2025-08-28 06:19:25,New
"Road accident reported near Yeshwanthpur, need ambulance.",Accident,Emergency,Hebbal,2025-08-20 12:07:25,Resolved
Overflowing trash bin near Koramangala.,Garbage,Non-Emergency,HSR Layout,2025-08-21 03:32:25,Acknowledged
"Injury reported at BTM Layout, need hospital support.",Medical,Emergency,HSR Layout,2025-08-12 21:17:25,New
Huge fire reported at MG Road.,Fire,Emergency,Electronic City,2025-08-25 23:19:25,New
Medical emergency near Brigade Road.,Medical,Emergency,Yeshwanthpur,2025-08-11 03:30:25,Resolved
"Garbage dumped at Whitefield, smells bad.",Garbage,Non-Emergency,Brigade Road,2025-08-26 08:06:25,Acknowledged
Heavy traffic jam at HSR Layout.,Traffic,Non-Emergency,Indiranagar,2025-08-07 03:11:25,Acknowledged
Heart attack case reported at Whitefield.,Medical,Emergency,Hebbal,2025-08-19 06:47:25,Acknowledged
Pothole causing accidents near Indiranagar.,Potholes,Non-Emergency,MG Road,2025-08-17 01:53:25,Resolved
Garbage not collected from Indiranagar for 3 days.,Garbage,Non-Emergency,Electronic City,2025-08-05 16:07:25,Acknowledged
Garbage not collected from Brigade Road for 3 days.,Garbage,Non-Emergency,Yeshwanthpur,2025-08-21 05:05:25,Acknowledged
"Car crash at Electronic City, traffic blocked.",Accident,Emergency,Electronic City,2025-08-16 04:31:25,Acknowledged
"Road accident reported near Yeshwanthpur, need ambulance.",Accident,Emergency,Brigade Road,2025-08-10 20:56:25,New
Robbery reported at Koramangala.,Crime,Emergency,HSR Layout,2025-07-30 06:52:25,New
"Murder reported near Yeshwanthpur, urgent action needed.",Crime,Emergency,Whitefield,2025-08-21 00:52:25,New
Road at Whitefield has multiple potholes.,Potholes,Non-Emergency,Indiranagar,2025-08-10 02:46:25,New
Water pollution noticed near Koramangala.,Pollution,Non-Emergency,BTM Layout,2025-08-07 23:30:25,New
Industrial smoke polluting air at Yeshwanthpur.,Pollution,Non-Emergency,Indiranagar,2025-08-26 23:37:25,Acknowledged
"Smoke rising near MG Road, seems like a fire incident.",Fire,Emergency,Koramangala,2025-08-14 14:48:25,Acknowledged
"Road blocked near HSR Layout, vehicles moving slowly.",Traffic,Non-Emergency,Indiranagar,2025-08-26 09:18:25,Acknowledged
Emergency! Fire outbreak at HSR Layout.,Fire,Emergency,Yeshwanthpur,2025-08-13 20:15:25,Acknowledged
Accident causing traffic delays on Yeshwanthpur.,Traffic,Non-Emergency,HSR Layout,2025-08-05 18:07:25,Acknowledged
Waste blocking road at MG Road.,Garbage,Non-Emergency,Koramangala,2025-08-11 17:02:25,Resolved
Building caught fire at Brigade Road.,Fire,Emergency,Koramangala,2025-08-02 05:30:25,Resolved
"Garbage dumped at Hebbal, smells bad.",Garbage,Non-Emergency,Electronic City,2025-08-25 19:58:25,New
"Person fainted at Hebbal, need medical help.",Medical,Emergency,HSR Layout,2025-07-30 06:38:25,Resolved
"Road accident reported near Whitefield, need ambulance.",Accident,Emergency,Koramangala,2025-08-14 21:08:25,Acknowledged
"Huge pothole on Electronic City, risky for bikers.",Potholes,Non-Emergency,Koramangala,2025-08-12 18:37:25,Acknowledged
Overflowing trash bin near Koramangala.,Garbage,Non-Emergency,Yeshwanthpur,2025-08-28 03:21:25,New
Huge fire reported at Indiranagar.,Fire,Emergency,HSR Layout,2025-08-19 09:18:25,New
"Smoke rising near Whitefield, seems like a fire incident.",Fire,Emergency,Indiranagar,2025-08-25 09:52:25,New
Air pollution level rising around BTM Layout.,Pollution,Non-Emergency,HSR Layout,2025-08-17 14:36:25,Resolved
Suspicious activity noticed at Hebbal.,Crime,Emergency,Hebbal,2025-08-22 13:17:25,New
Heavy traffic jam at Hebbal.,Traffic,Non-Emergency,Yeshwanthpur,2025-08-08 07:01:25,New
Garbage not collected from Hebbal for 3 days.,Garbage,Non-Emergency,Hebbal,2025-08-06 19:58:25,Resolved
Suspicious activity noticed at Yeshwanthpur.,Crime,Emergency,Whitefield,2025-08-04 21:25:25,Acknowledged
Robbery reported at Indiranagar.,Crime,Emergency,Brigade Road,2025-08-19 17:28:25,Acknowledged
"Injury reported at Yeshwanthpur, need hospital support.",Medical,Emergency,HSR Layout,2025-08-20 06:18:25,Resolved
Heart attack case reported at Yeshwanthpur.,Medical,Emergency,Brigade Road,2025-08-15 15:01:25,Acknowledged
Traffic congestion reported at Koramangala.,Traffic,Non-Emergency,Brigade Road,2025-08-27 10:06:25,Resolved
"Injury reported at BTM Layout, need hospital support.",Medical,Emergency,Yeshwanthpur,2025-08-20 23:41:25,Acknowledged
Emergency! Fire outbreak at Indiranagar.,Fire,Emergency,Koramangala,2025-08-27 07:33:25,Resolved
Water pollution noticed near Brigade Road.,Pollution,Non-Emergency,Indiranagar,2025-08-21 11:28:25,Acknowledged
"Road accident reported near Koramangala, need ambulance.",Accident,Emergency,Electronic City,2025-08-23 03:05:25,Resolved
"Smoke rising near Whitefield, seems like a fire incident.",Fire,Emergency,Electronic City,2025-08-27 15:22:25,Resolved
Building caught fire at MG Road.,Fire,Emergency,Whitefield,2025-08-01 20:39:25,New
"Bike accident occurred at Brigade Road, police required.",Accident,Emergency,Brigade Road,2025-08-21 15:54:25,Acknowledged
"Road blocked near Brigade Road, vehicles moving slowly.",Traffic,Non-Emergency,BTM Layout,2025-08-18 01:35:25,New
"Road blocked near HSR Layout, vehicles moving slowly.",Traffic,Non-Emergency,Koramangala,2025-08-01 08:57:25,Resolved
"Smoke rising near HSR Layout, seems like a fire incident.",Fire,Emergency,Whitefield,2025-08-09 12:15:25,New
Garbage not collected from Whitefield for 3 days.,Garbage,Non-Emergency,MG Road,2025-08-11 07:36:25,Resolved
Building caught fire at Yeshwanthpur.,Fire,Emergency,MG Road,2025-08-15 05:20:25,New
"Major accident on Electronic City, multiple vehicles involved.",Accident,Emergency,Brigade Road,2025-07-28 19:43:25,Acknowledged
Robbery reported at Brigade Road.,Crime,Emergency,MG Road,2025-07-30 15:16:25,Acknowledged
Accident causing traffic delays on Whitefield.,Traffic,Non-Emergency,MG Road,2025-08-25 16:47:25,Acknowledged
Heavy traffic jam at Hebbal.,Traffic,Non-Emergency,Yeshwanthpur,2025-08-02 23:04:25,Acknowledged
"Car crash at Yeshwanthpur, traffic blocked.",Accident,Emergency,Brigade Road,2025-08-28 06:30:25,New
Huge fire reported at Whitefield.,Fire,Emergency,MG Road,2025-08-21 04:28:25,Resolved
Road at Koramangala has multiple potholes.,Potholes,Non-Emergency,Indiranagar,2025-08-06 06:37:25,Resolved
"Huge pothole on MG Road, risky for bikers.",Potholes,Non-Emergency,Indiranagar,2025-08-04 01:45:25,New
Robbery reported at BTM Layout.,Crime,Emergency,MG Road,2025-08-03 08:07:25,New
Accident causing traffic delays on Hebbal.,Traffic,Non-Emergency,Whitefield,2025-08-14 02:04:25,Acknowledged
Road at HSR Layout has multiple potholes.,Potholes,Non-Emergency,Hebbal,2025-08-10 10:43:25,Acknowledged
"Person fainted at Brigade Road, need medical help.",Medical,Emergency,BTM Layout,2025-08-24 04:46:25,Resolved
"Major accident on MG Road, multiple vehicles involved.",Accident,Emergency,MG Road,2025-07-30 08:14:25,Acknowledged
"Huge pothole on Brigade Road, risky for bikers.",Potholes,Non-Emergency,Electronic City,2025-08-12 21:24:25,Acknowledged
"Person fainted at Yeshwanthpur, need medical help.",Medical,Emergency,Brigade Road,2025-08-23 06:27:25,Acknowledged
Industrial smoke polluting air at MG Road.,Pollution,Non-Emergency,Brigade Road,2025-08-06 04:38:25,Resolved
"Huge pothole on Electronic City, risky for bikers.",Potholes,Non-Emergency,Hebbal,2025-08-06 00:52:25,New
Road at Whitefield has multiple potholes.,Potholes,Non-Emergency,Whitefield,2025-08-11 19:02:25,New
Waste blocking road at Koramangala.,Garbage,Non-Emergency,HSR Layout,2025-08-02 01:36:25,Acknowledged
Water pollution noticed near MG Road.,Pollution,Non-Emergency,Electronic City,2025-07-29 02:52:25,New
"Murder reported near Electronic City, urgent action needed.",Crime,Emergency,Indiranagar,2025-08-13 00:07:25,Resolved
"Car crash at Electronic City, traffic blocked.",Accident,Emergency,Indiranagar,2025-08-05 02:58:25,Resolved
"Fight broke out at BTM Layout, police required.",Crime,Emergency,Electronic City,2025-07-30 12:02:25,Acknowledged
Emergency! Fire outbreak at Brigade Road.,Fire,Emergency,Whitefield,2025-08-01 18:17:25,Acknowledged
"Garbage dumped at MG Road, smells bad.",Garbage,Non-Emergency,BTM Layout,2025-08-07 04:26:25,New
Accident causing traffic delays on Electronic City.,Traffic,Non-Emergency,Indiranagar,2025-08-07 08:47:25,New
"Major accident on Brigade Road, multiple vehicles involved.",Accident,Emergency,Hebbal,2025-08-14 06:35:25,Resolved
Garbage not collected from Yeshwanthpur for 3 days.,Garbage,Non-Emergency,BTM Layout,2025-08-21 12:21:25,New
"Person fainted at Electronic City, need medical help.",Medical,Emergency,Hebbal,2025-08-01 12:35:25,Acknowledged
Suspicious activity noticed at Electronic City.,Crime,Emergency,Indiranagar,2025-08-23 16:45:25,Resolved
Water pollution noticed near Brigade Road.,Pollution,Non-Emergency,MG Road,2025-08-05 14:13:25,Acknowledged
Industrial smoke polluting air at Brigade Road.,Pollution,Non-Emergency,BTM Layout,2025-08-03 06:50:25,Resolved
"Huge pothole on BTM Layout, risky for bikers.",Potholes,Non-Emergency,Yeshwanthpur,2025-08-04 18:43:25,New
"Fight broke out at Whitefield, police required.",Crime,Emergency,Indiranagar,2025-08-07 21:29:25,Acknowledged
Traffic congestion reported at Brigade Road.,Traffic,Non-Emergency,Koramangala,2025-08-26 02:34:25,Resolved
"Murder reported near BTM Layout, urgent action needed.",Crime,Emergency,Koramangala,2025-08-18 08:28:25,Resolved
"Garbage dumped at Electronic City, smells bad.",Garbage,Non-Emergency,Hebbal,2025-08-18 12:42:25,Resolved
Traffic congestion reported at MG Road.,Traffic,Non-Emergency,Brigade Road,2025-08-01 01:51:25,Acknowledged
Water pollution noticed near HSR Layout.,Pollution,Non-Emergency,Whitefield,2025-08-07 01:23:25,New
"Major accident on Electronic City, multiple vehicles involved.",Accident,Emergency,HSR Layout,2025-08-12 03:46:25,New
Emergency! Fire outbreak at MG Road.,Fire,Emergency,Yeshwanthpur,2025-07-31 01:35:25,Resolved
"Smoke rising near Hebbal, seems like a fire incident.",Fire,Emergency,MG Road,2025-08-12 13:00:25,Resolved
Dangerous pothole reported at HSR Layout.,Potholes,Non-Emergency,MG Road,2025-08-06 22:23:25,New
Building caught fire at BTM Layout.,Fire,Emergency,HSR Layout,2025-08-28 08:07:25,Resolved
"Road blocked near Hebbal, vehicles moving slowly.",Traffic,Non-Emergency,Whitefield,2025-08-28 16:16:25,New
Plastic waste causing pollution at Hebbal.,Pollution,Non-Emergency,Koramangala,2025-08-08 09:41:25,Resolved
Medical emergency near BTM Layout.,Medical,Emergency,BTM Layout,2025-07-28 22:26:25,New
Garbage not collected from Brigade Road for 3 days.,Garbage,Non-Emergency,HSR Layout,2025-08-16 11:58:25,New
Plastic waste causing pollution at Koramangala.,Pollution,Non-Emergency,Indiranagar,2025-08-16 18:16:25,Acknowledged
"Smoke rising near Yeshwanthpur, seems like a fire incident.",Fire,Emergency,Indiranagar,2025-08-22 18:49:25,New
"Huge pothole on Yeshwanthpur, risky for bikers.",Potholes,Non-Emergency,MG Road,2025-08-22 01:22:25,Acknowledged
Huge fire reported at Koramangala.,Fire,Emergency,HSR Layout,2025-08-10 23:40:25,Resolved
Robbery reported at Electronic City.,Crime,Emergency,Yeshwanthpur,2025-08-14 13:10:25,Acknowledged
"Major accident on HSR Layout, multiple vehicles involved.",Accident,Emergency,HSR Layout,2025-08-27 11:23:25,New
Emergency! Fire outbreak at Brigade Road.,Fire,Emergency,Brigade Road,2025-08-03 10:01:25,New
Industrial smoke polluting air at Whitefield.,Pollution,Non-Emergency,Brigade Road,2025-07-31 09:15:25,Resolved
"Road accident reported near Hebbal, need ambulance.",Accident,Emergency,Indiranagar,2025-08-04 02:39:25,Acknowledged
Huge fire reported at Indiranagar.,Fire,Emergency,Electronic City,2025-08-01 01:20:25,Resolved
"Bike accident occurred at Electronic City, police required.",Accident,Emergency,Electronic City,2025-08-02 03:51:25,Resolved
"Fight broke out at Electronic City, police required.",Crime,Emergency,Brigade Road,2025-07-29 16:01:25,Acknowledged
Robbery reported at Koramangala.,Crime,Emergency,Brigade Road,2025-08-22 15:32:25,New
Overflowing trash bin near HSR Layout.,Garbage,Non-Emergency,Koramangala,2025-08-25 07:49:25,Acknowledged
Plastic waste causing pollution at HSR Layout.,Pollution,Non-Emergency,Hebbal,2025-08-19 15:27:25,New
Road at Yeshwanthpur has multiple potholes.,Potholes,Non-Emergency,Hebbal,2025-08-06 18:25:25,Resolved
Road at Whitefield has multiple potholes.,Potholes,Non-Emergency,HSR Layout,2025-08-10 16:30:25,New
"Injury reported at Electronic City, need hospital support.",Medical,Emergency,BTM Layout,2025-08-04 09:14:25,Acknowledged
Heart attack case reported at MG Road.,Medical,Emergency,MG Road,2025-08-28 10:22:25,Acknowledged
"Huge pothole on Indiranagar, risky for bikers.",Potholes,Non-Emergency,MG Road,2025-08-27 19:12:25,Resolved
"Person fainted at BTM Layout, need medical help.",Medical,Emergency,Electronic City,2025-08-09 04:33:25,Acknowledged
Traffic congestion reported at Koramangala.,Traffic,Non-Emergency,MG Road,2025-08-23 03:08:25,Resolved
"Road accident reported near Electronic City, need ambulance.",Accident,Emergency,Electronic City,2025-08-10 17:39:25,Acknowledged
Heavy traffic jam at Indiranagar.,Traffic,Non-Emergency,Brigade Road,2025-08-14 05:40:25,Acknowledged
Overflowing trash bin near Brigade Road.,Garbage,Non-Emergency,Koramangala,2025-08-14 22:56:25,New
Heart attack case reported at BTM Layout.,Medical,Emergency,Koramangala,2025-07-30 10:41:25,New
"Major accident on Brigade Road, multiple vehicles involved.",Accident,Emergency,Yeshwanthpur,2025-08-07 11:36:25,New
"Injury reported at Whitefield, need hospital support.",Medical,Emergency,Indiranagar,2025-08-08 01:07:25,Resolved
Waste blocking road at Koramangala.,Garbage,Non-Emergency,Hebbal,2025-08-14 18:07:25,New
Waste blocking road at Brigade Road.,Garbage,Non-Emergency,Indiranagar,2025-08-27 06:35:25,New
"Injury reported at HSR Layout, need hospital support.",Medical,Emergency,Electronic City,2025-07-31 11:34:25,Resolved
Suspicious activity noticed at Electronic City.,Crime,Emergency,Koramangala,2025-08-20 16:35:25,New
Accident causing traffic delays on Yeshwanthpur.,Traffic,Non-Emergency,Koramangala,2025-08-24 13:10:25,Acknowledged
"Smoke rising near Koramangala, seems like a fire incident.",Fire,Emergency,Electronic City,2025-08-03 17:35:25,Acknowledged
"Garbage dumped at BTM Layout, smells bad.",Garbage,Non-Emergency,Yeshwanthpur,2025-08-03 23:05:25,New
"Fight broke out at MG Road, police required.",Crime,Emergency,Yeshwanthpur,2025-08-01 14:08:25,Resolved
"Major accident on BTM Layout, multiple vehicles involved.",Accident,Emergency,Indiranagar,2025-08-06 19:48:25,New
Water pollution noticed near Brigade Road.,Pollution,Non-Emergency,Hebbal,2025-07-30 19:51:25,Acknowledged
"Smoke rising near MG Road, seems like a fire incident.",Fire,Emergency,Hebbal,2025-08-11 23:06:25,Resolved
Overflowing trash bin near MG Road.,Garbage,Non-Emergency,HSR Layout,2025-07-31 10:49:25,Resolved
Waste blocking road at Electronic City.,Garbage,Non-Emergency,Electronic City,2025-08-21 00:04:25,Resolved
Industrial smoke polluting air at BTM Layout.,Pollution,Non-Emergency,BTM Layout,2025-08-19 07:38:25,Resolved
Heart attack case reported at BTM Layout.,Medical,Emergency,Brigade Road,2025-08-05 00:01:25,Resolved
Heavy traffic jam at Brigade Road.,Traffic,Non-Emergency,BTM Layout,2025-08-04 10:54:25,Resolved
Overflowing trash bin near Hebbal.,Garbage,Non-Emergency,Brigade Road,2025-08-01 08:49:25,Acknowledged
Air pollution level rising around Electronic City.,Pollution,Non-Emergency,Brigade Road,2025-08-13 01:56:25,Resolved
Emergency! Fire outbreak at Brigade Road.,Fire,Emergency,Electronic City,2025-08-15 09:25:25,Resolved
"Garbage dumped at Whitefield, smells bad.",Garbage,Non-Emergency,BTM Layout,2025-08-26 01:01:25,Acknowledged
Garbage not collected from Indiranagar for 3 days.,Garbage,Non-Emergency,Electronic City,2025-08-23 18:02:25,New
Plastic waste causing pollution at Koramangala.,Pollution,Non-Emergency,HSR Layout,2025-08-06 19:50:25,New
Pothole causing accidents near Whitefield.,Potholes,Non-Emergency,Brigade Road,2025-07-31 02:11:25,Acknowledged
"Murder reported near MG Road, urgent action needed.",Crime,Emergency,Whitefield,2025-08-25 23:15:25,Acknowledged
Huge fire reported at Electronic City.,Fire,Emergency,Brigade Road,2025-08-27 23:18:25,Resolved
Heavy traffic jam at Hebbal.,Traffic,Non-Emergency,Whitefield,2025-07-30 14:41:25,Acknowledged
Robbery reported at Yeshwanthpur.,Crime,Emergency,Hebbal,2025-08-18 22:56:25,New
"Fight broke out at Indiranagar, police required.",Crime,Emergency,Indiranagar,2025-08-07 16:09:25,New
"Major accident on MG Road, multiple vehicles involved.",Accident,Emergency,Indiranagar,2025-08-01 23:33:25,Acknowledged
Medical emergency near Yeshwanthpur.,Medical,Emergency,BTM Layout,2025-08-22 06:50:25,New
"Road accident reported near BTM Layout, need ambulance.",Accident,Emergency,Yeshwanthpur,2025-08-10 11:30:25,Resolved
Huge fire reported at Koramangala.,Fire,Emergency,Hebbal,2025-08-16 07:26:25,Acknowledged
"Huge pothole on Electronic City, risky for bikers.",Potholes,Non-Emergency,Koramangala,2025-08-17 14:48:25,New
Overflowing trash bin near Koramangala.,Garbage,Non-Emergency,Whitefield,2025-08-02 00:16:25,Resolved
"Huge pothole on HSR Layout, risky for bikers.",Potholes,Non-Emergency,BTM Layout,2025-08-17 00:33:25,Resolved
"Smoke rising near Hebbal, seems like a fire incident.",Fire,Emergency,MG Road,2025-08-23 05:49:25,Resolved
"Fight broke out at HSR Layout, police required.",Crime,Emergency,Hebbal,2025-08-01 13:28:25,Acknowledged
Air pollution level rising around Electronic City.,Pollution,Non-Emergency,MG Road,2025-07-31 23:53:25,New
